Max Temp,Cloudiness,Humidity,Country,Wind Speed,Lng,City,Lat,Date,parsed_time
37.4,90,86,UZ,2.24,71.72,Yangi Marg`ilon,40.43,1580002655,2020-01-26 01:37:35
70.88,91,84,DO,1.23,-69.85,Nagua,19.38,1580002656,2020-01-26 01:37:36
75.2,75,94,GF,2.24,-52.33,Cayenne,4.93,1580002658,2020-01-26 01:37:38
74.41,100,86,PE,9.78,-80.82,Sechura,-5.56,1580002659,2020-01-26 01:37:39
86,75,78,PH,3.36,120.03,Panan,15.21,1580002661,2020-01-26 01:37:41
39.43,0,75,PK,3.2,66.45,Chaman,30.92,1580002662,2020-01-26 01:37:42
88.59,100,49,AU,11.54,148.88,Blackwater,-23.58,1580002663,2020-01-26 01:37:43
8.6,92,42,GL,11.41,-51.1,Ilulissat,69.22,1580002664,2020-01-26 01:37:44
4.08,100,94,GL,5.99,-53.67,Sisimiut,66.94,1580002532,2020-01-26 01:35:32
86,73,28,AR,14.99,-67.58,General Roca,-39.03,1580002666,2020-01-26 01:37:46
77,15,69,AU,12.75,114.6,Geraldton,-28.77,1580002588,2020-01-26 01:36:28
73.4,33,83,BR,1.12,-48.67,Imbituba,-28.24,1580002618,2020-01-26 01:36:58
86,40,62,AU,12.75,150.73,Yeppoon,-23.13,1580002607,2020-01-26 01:36:47
82.2,48,63,TL,3.29,125.41,Airai,-8.93,1580002670,2020-01-26 01:37:50
60.55,0,37,MM,2.46,97.75,Lashio,22.93,1580002672,2020-01-26 01:37:52
80.6,13,69,AU,19.46,113.63,Carnarvon,-24.87,1580002673,2020-01-26 01:37:53
63.9,100,96,TZ,3.78,34.7,Mugumu,-1.85,1580002674,2020-01-26 01:37:54
24.26,100,70,NO,32.32,31.11,Vardo,70.37,1580002675,2020-01-26 01:37:55
73.99,100,23,MR,10.58,-10.07,Adrar,20.5,1580002676,2020-01-26 01:37:56
69.57,100,74,UG,1.23,31.77,Kiboga,0.92,1580002677,2020-01-26 01:37:57
82.49,100,77,MV,9.75,73.08,Hithadhoo,-0.6,1580002493,2020-01-26 01:34:53
62.01,67,61,CL,0.83,-71.17,Illapel,-31.63,1580002680,2020-01-26 01:38:00
-12.03,55,43,GL,4.43,-69.36,Qaanaaq,77.48,1580002516,2020-01-26 01:35:16
18.03,100,90,RU,9.35,86.55,Karagaylinskiy,54.17,1580002684,2020-01-26 01:38:04
77.09,0,28,AR,2.57,-68.33,San Rafael,-34.62,1580002452,2020-01-26 01:34:12
48.99,90,100,US,6.91,-73.41,Bethel,41.37,1580002414,2020-01-26 01:33:34
-5.84,100,95,RU,5.39,80.55,Dikson,73.51,1580002687,2020-01-26 01:38:07
14,75,78,RU,15.66,73.22,Krutaya Gorka,55.36,1580002688,2020-01-26 01:38:08
-8.14,16,95,RU,6.51,128.46,Belogorsk,50.92,1580002689,2020-01-26 01:38:09
80.6,75,83,BR,4.7,-35.46,Touros,-5.2,1580002690,2020-01-26 01:38:10
48,100,99,CN,4.43,120.23,Wuning,29.26,1580002692,2020-01-26 01:38:12
39,15,64,PK,1.92,70.74,Doaba,33.42,1580002693,2020-01-26 01:38:13
62.6,1,81,US,5.82,-118.45,Tehachapi,35.13,1580002694,2020-01-26 01:38:14
63.21,0,67,CL,5.7,-72.42,Constitucion,-35.33,1580002695,2020-01-26 01:38:15
69.8,90,100,BR,6.93,-44.31,Esmeraldas,-19.76,1580002696,2020-01-26 01:38:16
33.01,90,100,IT,5.82,10.7,Laas,46.62,1580002697,2020-01-26 01:38:17
84.99,40,74,PH,2.24,121.02,City of San Pedro,14.35,1580002698,2020-01-26 01:38:18
68.76,100,9,BF,10,-0.03,Dori,14.04,1580002699,2020-01-26 01:38:19
93.2,40,49,AU,9.17,150.47,Ulladulla,-35.35,1580002570,2020-01-26 01:36:10
67.3,100,94,TZ,2.62,35.85,Mto wa Mbu,-3.35,1580002702,2020-01-26 01:38:22
84.2,22,79,NU,9.17,-169.92,Alofi,-19.06,1580002703,2020-01-26 01:38:23
